epoch,val_loss,val_shuffle_accuracy,val_rank_fraction_global_gt_local,val_strong_rank_fraction,val_local_displacement_mean,val_global_displacement_mean,val_global_minus_local,val_adjacency_accuracy,val_neighbor_top1_accuracy
1,1.739698632558187,0.7868055555555555,0.8895833333333333,0.8597222222222223,0.1422995858722263,0.3528059608406491,0.21050637496842278,0.6076388888888888,0.15
2,1.594252343972524,0.8291666666666667,0.91875,0.88125,0.10577944616476695,0.2913989166418711,0.18561947047710417,0.6152777777777778,0.17222222222222222
3,1.603248139222463,0.8182870370370371,0.95,0.9277777777777778,0.08866986400551266,0.28274490303463407,0.1940750390291214,0.6166666666666667,0.2013888888888889
4,1.5331048528353373,0.8416666666666667,0.96875,0.9340277777777778,0.06674930817551084,0.23513790104124282,0.168388592865732,0.61875,0.21319444444444444
5,1.5611331939697266,0.8358796296296296,0.9645833333333333,0.9388888888888889,0.07296460370222728,0.2890175263086955,0.2160529226064682,0.6326388888888889,0.23125
