strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000041,1,GLOBAL_CONTIG,342,4,0.681984543800354,0.318015456199646,0.7975154519081116,True,False,False,False
STRAIN_000041,1,GLOBAL_CONTIG,442,5,0.6996772289276123,0.3003227710723877,0.775013267993927,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,42,1,0.6614176630973816,0.3385823369026184,0.822900116443634,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,142,2,0.6961240768432617,0.3038759231567383,0.7795843482017517,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,242,3,0.6804060935974121,0.3195939064025879,0.7994922399520874,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,342,4,0.6930809020996094,0.3069190979003906,0.7834782004356384,True,False,False,False
STRAIN_000042,1,GLOBAL_CONTIG,442,5,0.6729421019554138,0.3270578980445862,0.8087742328643799,True,False,False,False
STRAIN_000060,1,GLOBAL_CONTIG,42,1,0.7208167314529419,0.2791832685470581,0.747239351272583,True,False,False,False
STRAIN_000060,1,GLOBAL_CONTIG,142,2,0.6952918171882629,0.30470818281173706,0.780651330947876,True,False,False,False
STRAIN_000060,1,GLOBAL_CONTIG,242,3,0.696729838848114,0.303270161151886,0.7788071632385254,True,False,False,False
STRAIN_000060,1,GLOBAL_CONTIG,342,4,0.6816184520721436,0.31838154792785645,0.7979744076728821,True,False,False,False
STRAIN_000060,1,GLOBAL_CONTIG,442,5,0.6980277299880981,0.30197227001190186,0.7771386504173279,True,False,False,False
STRAIN_000066,1,GLOBAL_CONTIG,42,1,0.6062561273574829,0.3937438726425171,0.8874050974845886,True,False,False,False
STRAIN_000066,1,GLOBAL_CONTIG,142,2,0.6239355802536011,0.3760644197463989,0.8672536611557007,True,False,False,False
STRAIN_000066,1,GLOBAL_CONTIG,242,3,0.6054131388664246,0.39458686113357544,0.888354480266571,True,False,False,False
STRAIN_000066,1,GLOBAL_CONTIG,342,4,0.6186690330505371,0.3813309669494629,0.8733052611351013,True,False,False,False
STRAIN_000066,1,GLOBAL_CONTIG,442,5,0.6065663695335388,0.3934336304664612,0.8870553970336914,True,False,False,False
STRAIN_000092,1,GLOBAL_CONTIG,42,1,0.6293975114822388,0.37060248851776123,0.8609326481819153,True,False,False,False
STRAIN_000092,1,GLOBAL_CONTIG,142,2,0.6170608997344971,0.38293910026550293,0.8751446604728699,True,False,False,False
STRAIN_000092,1,GLOBAL_CONTIG,242,3,0.594135046005249,0.405864953994751,0.9009605646133423,True,False,False,False
STRAIN_000092,1,GLOBAL_CONTIG,342,4,0.6254323720932007,0.3745676279067993,0.865526020526886,True,False,False,False
STRAIN_000092,1,GLOBAL_CONTIG,442,5,0.6295425295829773,0.3704574704170227,0.8607641458511353,True,False,False,False
STRAIN_000140,1,GLOBAL_CONTIG,42,1,0.6168596744537354,0.38314032554626465,0.8753744959831238,True,False,False,False
STRAIN_000140,1,GLOBAL_CONTIG,142,2,0.6025230884552002,0.3974769115447998,0.8916017413139343,True,False,False,False
STRAIN_000140,1,GLOBAL_CONTIG,242,3,0.6062208414077759,0.3937791585922241,0.8874447345733643,True,False,False,False
STRAIN_000140,1,GLOBAL_CONTIG,342,4,0.6058319807052612,0.39416801929473877,0.8878829479217529,True,False,False,False
STRAIN_000140,1,GLOBAL_CONTIG,442,5,0.6029634475708008,0.3970365524291992,0.8911078572273254,True,False,False,False
STRAIN_000159,1,GLOBAL_CONTIG,42,1,0.674792468547821,0.32520753145217896,0.8064832091331482,True,False,False,False
STRAIN_000159,1,GLOBAL_CONTIG,142,2,0.6842186450958252,0.3157813549041748,0.7947090268135071,True,False,False,False
STRAIN_000159,1,GLOBAL_CONTIG,242,3,0.6692573428153992,0.33074265718460083,0.8133173584938049,True,False,False,False
STRAIN_000159,1,GLOBAL_CONTIG,342,4,0.6614990830421448,0.3385009169578552,0.8228012323379517,True,False,False,False
STRAIN_000159,1,GLOBAL_CONTIG,442,5,0.7017630338668823,0.2982369661331177,0.7723171710968018,True,False,False,False
STRAIN_000162,1,GLOBAL_CONTIG,42,1,0.5924075841903687,0.40759241580963135,0.9028759598731995,True,False,False,False
STRAIN_000162,1,GLOBAL_CONTIG,142,2,0.6095225811004639,0.39047741889953613,0.8837164640426636,True,False,False,False
STRAIN_000162,1,GLOBAL_CONTIG,242,3,0.5983158349990845,0.4016841650009155,0.8963082432746887,True,False,False,False
STRAIN_000162,1,GLOBAL_CONTIG,342,4,0.5836559534072876,0.4163440465927124,0.9125174283981323,True,False,False,False
STRAIN_000162,1,GLOBAL_CONTIG,442,5,0.5991402864456177,0.4008597135543823,0.8953878879547119,True,False,False,False
STRAIN_000199,1,GLOBAL_CONTIG,42,1,0.5724737644195557,0.42752623558044434,0.9246904850006104,True,False,False,False
STRAIN_000199,1,GLOBAL_CONTIG,142,2,0.5755547881126404,0.4244452118873596,0.9213525056838989,True,False,False,False
STRAIN_000199,1,GLOBAL_CONTIG,242,3,0.6021771430969238,0.39782285690307617,0.8919898271560669,True,False,False,False
STRAIN_000199,1,GLOBAL_CONTIG,342,4,0.572113037109375,0.427886962890625,0.9250805377960205,True,False,False,False
STRAIN_000199,1,GLOBAL_CONTIG,442,5,0.6153320074081421,0.3846679925918579,0.8771181106567383,True,False,False,False
STRAIN_000214,1,GLOBAL_CONTIG,42,1,0.685962438583374,0.314037561416626,0.7925118803977966,True,False,False,False
STRAIN_000214,1,GLOBAL_CONTIG,142,2,0.6691406965255737,0.33085930347442627,0.8134608864784241,True,False,False,False
STRAIN_000214,1,GLOBAL_CONTIG,242,3,0.6619553565979004,0.3380446434020996,0.8222464919090271,True,False,False,False
