outer_fold,strain_entity_id,control_type,n_seeds,displacement_mean,displacement_median,displacement_sd
1,STRAIN_000002,LOCAL_W10,5,0.051094210147857665,0.05185908079147339,0.0024802032216073846
1,STRAIN_000015,LOCAL_W10,5,0.06975147724151612,0.06715238094329834,0.006165431278906202
1,STRAIN_000033,LOCAL_W10,5,0.06690247058868408,0.06353092193603516,0.005799161958630337
1,STRAIN_000070,LOCAL_W10,5,0.07397627830505371,0.07304322719573975,0.006934912857868437
1,STRAIN_000075,LOCAL_W10,5,0.20507897138595582,0.20094245672225952,0.0859254059063888
1,STRAIN_000113,LOCAL_W10,5,0.045700883865356444,0.0463862419128418,0.0018731162289575538
1,STRAIN_000114,LOCAL_W10,5,0.07716765403747558,0.07579994201660156,0.009746458020702727
1,STRAIN_000115,LOCAL_W10,5,0.08237000703811645,0.08165514469146729,0.008080009185667338
1,STRAIN_000118,LOCAL_W10,5,0.06204743385314941,0.062133967876434326,0.004514963145887753
1,STRAIN_000119,LOCAL_W10,5,0.06384850740432739,0.06401646137237549,0.004774473599563084
1,STRAIN_000125,LOCAL_W10,5,0.07641850709915161,0.07791513204574585,0.002741266514578248
1,STRAIN_000130,LOCAL_W10,5,0.05058211088180542,0.051932454109191895,0.0036056676220790978
1,STRAIN_000134,LOCAL_W10,5,0.05040916204452515,0.04824113845825195,0.006311387020825858
1,STRAIN_000142,LOCAL_W10,5,0.06307331323623658,0.06332439184188843,0.004957443223425756
1,STRAIN_000143,LOCAL_W10,5,0.054358601570129395,0.05447995662689209,0.004752128877392592
1,STRAIN_000149,LOCAL_W10,5,0.06760075092315673,0.070079505443573,0.006976752478784704
1,STRAIN_000152,LOCAL_W10,5,0.05081758499145508,0.049629807472229004,0.002509791422642588
1,STRAIN_000153,LOCAL_W10,5,0.05936752557754517,0.06258141994476318,0.006504249532050022
1,STRAIN_000158,LOCAL_W10,5,0.0677379012107849,0.06627637147903442,0.009194942352933281
1,STRAIN_000161,LOCAL_W10,5,0.05326499938964844,0.051479220390319824,0.004917610342855469
1,STRAIN_000162,LOCAL_W10,5,0.07196731567382812,0.07240831851959229,0.004715564724111763
1,STRAIN_000164,LOCAL_W10,5,0.054466640949249266,0.05440801382064819,0.0025307476826500856
1,STRAIN_000172,LOCAL_W10,5,0.07041741609573364,0.06969189643859863,0.004564248884478605
1,STRAIN_000182,LOCAL_W10,5,0.056844902038574216,0.05441349744796753,0.005406724779998176
1,STRAIN_000186,LOCAL_W10,5,0.067539644241333,0.06914687156677246,0.004023859672741347
1,STRAIN_000188,LOCAL_W10,5,0.06830949783325195,0.06942123174667358,0.008343078573983441
1,STRAIN_000190,LOCAL_W10,5,0.07316902875900269,0.07261514663696289,0.004559635824541801
1,STRAIN_000191,LOCAL_W10,5,0.06895543336868286,0.06770771741867065,0.004083254531941081
1,STRAIN_000194,LOCAL_W10,5,0.04516479969024658,0.04437971115112305,0.002342596041779576
1,STRAIN_000199,LOCAL_W10,5,0.07366998195648193,0.07378649711608887,0.006143582954489377
1,STRAIN_000202,LOCAL_W10,5,0.0711988091468811,0.07320284843444824,0.00511086262230524
1,STRAIN_000230,LOCAL_W10,5,0.06748485565185547,0.06915366649627686,0.008018592255515078
1,STRAIN_000231,LOCAL_W10,5,0.045881462097167966,0.04674255847930908,0.0041557590948647395
1,STRAIN_000239,LOCAL_W10,5,0.07840297222137452,0.07781440019607544,0.006675119112005234
1,STRAIN_000243,LOCAL_W10,5,0.07241792678833008,0.07228738069534302,0.0037341854500067104
1,STRAIN_000256,LOCAL_W10,5,0.05214029550552368,0.05252653360366821,0.004406950150897726
1,STRAIN_000260,LOCAL_W10,5,0.05292502641677856,0.057014405727386475,0.007136359180631982
1,STRAIN_000263,LOCAL_W10,5,0.06893274784088135,0.06958520412445068,0.003343738664339585
1,STRAIN_000267,LOCAL_W10,5,0.07335488796234131,0.06348735094070435,0.025416208815451227
1,STRAIN_000271,LOCAL_W10,5,0.07069920301437378,0.06854903697967529,0.008218230851633755
1,STRAIN_000276,LOCAL_W10,5,0.07213728427886963,0.07401323318481445,0.004601308751709303
1,STRAIN_000287,LOCAL_W10,5,0.05434869527816773,0.05400419235229492,0.001477835277802699
1,STRAIN_000302,LOCAL_W10,5,0.05982707738876343,0.058343708515167236,0.004409034737511503
1,STRAIN_000305,LOCAL_W10,5,0.06495676040649415,0.06756025552749634,0.003907077577206238
1,STRAIN_000308,LOCAL_W10,5,0.060682821273803714,0.060632944107055664,0.0034644892466628055
1,STRAIN_000321,LOCAL_W10,5,0.08443711996078491,0.08499157428741455,0.009036474617591397
1,STRAIN_000324,LOCAL_W10,5,0.05580971240997314,0.05691808462142944,0.00480954371690299
1,STRAIN_000325,LOCAL_W10,5,0.07115085124969482,0.07024705410003662,0.006722938176413713
1,STRAIN_000330,LOCAL_W10,5,0.07643532752990723,0.07659077644348145,0.0038342203672005726
1,STRAIN_000333,LOCAL_W10,5,0.06749109029769898,0.06847226619720459,0.004538762348872186
1,STRAIN_000335,LOCAL_W10,5,0.07879434823989868,0.0782238245010376,0.005314182737230729
1,STRAIN_000337,LOCAL_W10,5,0.0652239203453064,0.06633877754211426,0.0032136357160373443
1,STRAIN_000342,LOCAL_W10,5,0.04217382669448853,0.04490959644317627,0.011744827416034486
1,STRAIN_000345,LOCAL_W10,5,0.07807035446166992,0.076618492603302,0.004376542249086653
1,STRAIN_000347,LOCAL_W10,5,0.062235140800476076,0.05996030569076538,0.006506202644181727
1,STRAIN_000353,LOCAL_W10,5,0.05646234750747681,0.05876743793487549,0.005095695343327081
1,STRAIN_000354,LOCAL_W10,5,0.05544945001602173,0.055087149143218994,0.0024246767803175486
1,STRAIN_000355,LOCAL_W10,5,0.07134729623794556,0.07004457712173462,0.013291764429541292
1,STRAIN_000358,LOCAL_W10,5,0.07122032642364502,0.07076239585876465,0.004362649029908793
1,STRAIN_000369,LOCAL_W10,5,0.07385534048080444,0.07210338115692139,0.007355619696367436
1,STRAIN_000372,LOCAL_W10,5,0.07666714191436767,0.07709848880767822,0.005559852811921966
1,STRAIN_000373,LOCAL_W10,5,0.06552056074142457,0.06420540809631348,0.00687510597332772
1,STRAIN_000379,LOCAL_W10,5,0.08248434066772461,0.07933992147445679,0.007696777111133063
1,STRAIN_000380,LOCAL_W10,5,0.055908203125,0.05577719211578369,0.004758214569897744
1,STRAIN_000385,LOCAL_W10,5,0.07867538928985596,0.07817929983139038,0.002449395787110075
1,STRAIN_000387,LOCAL_W10,5,0.05515632629394531,0.05366158485412598,0.006858035906311876
1,STRAIN_000389,LOCAL_W10,5,0.06324887275695801,0.06638216972351074,0.007557393168679429
1,STRAIN_000390,LOCAL_W10,5,0.07178326845169067,0.0704798698425293,0.003839979951732425
1,STRAIN_000392,LOCAL_W10,5,0.062027788162231444,0.06104326248168945,0.004350181896155219
1,STRAIN_000396,LOCAL_W10,5,0.07478406429290771,0.07471120357513428,0.007619138447968957
1,STRAIN_000397,LOCAL_W10,5,0.07760627269744873,0.07834970951080322,0.0073544615642839066
1,STRAIN_000398,LOCAL_W10,5,0.07069566249847412,0.07209122180938721,0.006094860898626826
1,STRAIN_000399,LOCAL_W10,5,0.06977299451828003,0.07036709785461426,0.0032884278743611647
1,STRAIN_000400,LOCAL_W10,5,0.06851223707199097,0.06681406497955322,0.00961463832435562
1,STRAIN_000410,LOCAL_W10,5,0.06499453783035278,0.06672942638397217,0.005857358162412268
1,STRAIN_000411,LOCAL_W10,5,0.0829828143119812,0.08216196298599243,0.004853215900162153
1,STRAIN_000418,LOCAL_W10,5,0.07060867547988892,0.07136344909667969,0.00645419741011573
1,STRAIN_000422,LOCAL_W10,5,0.06333749294281006,0.062291622161865234,0.0034835493780062225
1,STRAIN_000429,LOCAL_W10,5,0.06096113920211792,0.05834519863128662,0.004699561157261711
1,STRAIN_000432,LOCAL_W10,5,0.07100033760070801,0.07250046730041504,0.006312960054467129
1,STRAIN_000438,LOCAL_W10,5,0.0656091809272766,0.06360745429992676,0.0032651994013614145
1,STRAIN_000445,LOCAL_W10,5,0.05992710590362549,0.06026959419250488,0.005801238213333828
1,STRAIN_000471,LOCAL_W10,5,0.0725529670715332,0.07255673408508301,0.002331159097593759
1,STRAIN_000476,LOCAL_W10,5,0.06828367710113525,0.06909477710723877,0.006289960437647349
1,STRAIN_000480,LOCAL_W10,5,0.0812157154083252,0.08454656600952148,0.006459170214882566
1,STRAIN_000490,LOCAL_W10,5,0.06721693277359009,0.0662497878074646,0.005093884070031731
1,STRAIN_000495,LOCAL_W10,5,0.0675189733505249,0.07093727588653564,0.007978377848566148
1,STRAIN_000497,LOCAL_W10,5,0.07766581773757934,0.07807004451751709,0.002130161070580067
1,STRAIN_000505,LOCAL_W10,5,0.06443681716918945,0.06867432594299316,0.008528770024811439
1,STRAIN_000508,LOCAL_W10,5,0.06551918983459473,0.06350743770599365,0.0059955472403257415
1,STRAIN_000516,LOCAL_W10,5,0.05413191318511963,0.05150246620178223,0.005652455658107603
1,STRAIN_000519,LOCAL_W10,5,0.05472550392150879,0.057183265686035156,0.01016160061950089
1,STRAIN_000528,LOCAL_W10,5,0.06613380908966064,0.06322193145751953,0.006439124231035327
1,STRAIN_000530,LOCAL_W10,5,0.07461758852005004,0.07259738445281982,0.004208680979042264
1,STRAIN_000531,LOCAL_W10,5,0.06909524202346802,0.07278609275817871,0.006422029256104833
1,STRAIN_000532,LOCAL_W10,5,0.06380711793899536,0.06263852119445801,0.003538724664225259
1,STRAIN_000536,LOCAL_W10,5,0.06831935644149781,0.06929850578308105,0.005505945416839387
1,STRAIN_000537,LOCAL_W10,5,0.06946059465408325,0.06793296337127686,0.004364344093185413
1,STRAIN_000555,LOCAL_W10,5,0.06146458387374878,0.06183767318725586,0.006201497453164327
1,STRAIN_000563,LOCAL_W10,5,0.06341553926467895,0.06297993659973145,0.013165371049574708
1,STRAIN_000564,LOCAL_W10,5,0.058668673038482666,0.05794417858123779,0.008804353232803933
1,STRAIN_000566,LOCAL_W10,5,0.05376623868942261,0.05121195316314697,0.006715171130018912
1,STRAIN_000568,LOCAL_W10,5,0.06725946664810181,0.06634688377380371,0.007823319691789551
1,STRAIN_000571,LOCAL_W10,5,0.07494685649871827,0.07408958673477173,0.007228259794063047
1,STRAIN_000573,LOCAL_W10,5,0.06843892335891724,0.06913763284683228,0.005080841934322656
1,STRAIN_000574,LOCAL_W10,5,0.07137489318847656,0.07044851779937744,0.006681475291107025
1,STRAIN_000576,LOCAL_W10,5,0.046285605430603026,0.04588723182678223,0.009416272792571435
1,STRAIN_000579,LOCAL_W10,5,0.07207695245742798,0.07288235425949097,0.00320835928048749
1,STRAIN_000590,LOCAL_W10,5,0.05601547956466675,0.05324125289916992,0.005977038028515525
1,STRAIN_000606,LOCAL_W10,5,0.07174248695373535,0.07165038585662842,0.002562590445231607
1,STRAIN_000608,LOCAL_W10,5,0.07321860790252685,0.07403385639190674,0.002944305795685214
1,STRAIN_000609,LOCAL_W10,5,0.07053267955780029,0.0712047815322876,0.0034347660013197274
1,STRAIN_000610,LOCAL_W10,5,0.057495081424713136,0.05703771114349365,0.004456681972221213
1,STRAIN_000611,LOCAL_W10,5,0.06234583854675293,0.06281781196594238,0.004254090093683458
1,STRAIN_000612,LOCAL_W10,5,0.06833182573318482,0.06777548789978027,0.0058417053176032276
1,STRAIN_000616,LOCAL_W10,5,0.06267693042755126,0.061070024967193604,0.005825441423546342
1,STRAIN_000631,LOCAL_W10,5,0.05548965930938721,0.05875551700592041,0.008416213445576914
1,STRAIN_000644,LOCAL_W10,5,0.07377092838287354,0.07459020614624023,0.005808405170145534
1,STRAIN_000646,LOCAL_W10,5,0.06954153776168823,0.07058960199356079,0.0029783809450889278
1,STRAIN_000656,LOCAL_W10,5,0.0688858151435852,0.06715863943099976,0.009260316005747582
1,STRAIN_000660,LOCAL_W10,5,0.07368578910827636,0.07557827234268188,0.015912099645868313
1,STRAIN_000662,LOCAL_W10,5,0.06395903825759888,0.06526458263397217,0.0028994493326326295
1,STRAIN_000673,LOCAL_W10,5,0.06069920063018799,0.05958139896392822,0.004550477761595561
1,STRAIN_000676,LOCAL_W10,5,0.07293992042541504,0.07453387975692749,0.006003336310495281
1,STRAIN_000679,LOCAL_W10,5,0.05178611278533936,0.053023338317871094,0.00833854160005011
1,STRAIN_000682,LOCAL_W10,5,0.06937532424926758,0.0679250955581665,0.007668376990658777
1,STRAIN_000684,LOCAL_W10,5,0.0755617380142212,0.07672685384750366,0.0028617077397217836
1,STRAIN_000686,LOCAL_W10,5,0.07268955707550048,0.07107007503509521,0.006699027779276122
1,STRAIN_000691,LOCAL_W10,5,0.06621758937835694,0.06474572420120239,0.005504953720017439
1,STRAIN_000694,LOCAL_W10,5,0.06871410608291625,0.06855010986328125,0.0030921078382940715
1,STRAIN_000701,LOCAL_W10,5,0.07145119905471801,0.07274281978607178,0.006110918322342784
1,STRAIN_000712,LOCAL_W10,5,0.07156621217727661,0.07293254137039185,0.00492160916432739
1,STRAIN_000714,LOCAL_W10,5,0.06492787599563599,0.06319534778594971,0.007896873353111688
1,STRAIN_000716,LOCAL_W10,5,0.07064718008041382,0.06923747062683105,0.002939908524842075
1,STRAIN_000722,LOCAL_W10,5,0.07086031436920166,0.072742760181427,0.006243816763171459
1,STRAIN_000724,LOCAL_W10,5,0.06719508171081542,0.0670013427734375,0.003609120338006893
1,STRAIN_000727,LOCAL_W10,5,0.07370179891586304,0.07225000858306885,0.006497434886592525
1,STRAIN_000731,LOCAL_W10,5,0.05962444543838501,0.06067705154418945,0.0042409186858092885
1,STRAIN_000734,LOCAL_W10,5,0.07028555870056152,0.07111334800720215,0.006637704434268153
1,STRAIN_000739,LOCAL_W10,5,0.07385650873184205,0.07091498374938965,0.00670267115455219
1,STRAIN_000742,LOCAL_W10,5,0.06521804332733154,0.06510710716247559,0.004153943872250067
1,STRAIN_000746,LOCAL_W10,5,0.0663230299949646,0.0650554895401001,0.005021834050677285
1,STRAIN_000753,LOCAL_W10,5,0.06702409982681275,0.0671074390411377,0.006475519992632154
1,STRAIN_000759,LOCAL_W10,5,0.07213392257690429,0.06623435020446777,0.009868592101798938
1,STRAIN_000760,LOCAL_W10,5,0.07112549543380738,0.07056504487991333,0.003975789789806664
1,STRAIN_000763,LOCAL_W10,5,0.05508897304534912,0.05799901485443115,0.02414052172172923
1,STRAIN_000765,LOCAL_W10,5,0.06599358320236207,0.06399154663085938,0.007169487293145177
1,STRAIN_000781,LOCAL_W10,5,0.06183100938796997,0.05770373344421387,0.007287547450711772
1,STRAIN_000786,LOCAL_W10,5,0.06052720546722412,0.0605165958404541,0.0035667149817179525
1,STRAIN_000788,LOCAL_W10,5,0.060087037086486814,0.062348246574401855,0.005297307885598884
1,STRAIN_000789,LOCAL_W10,5,0.06638416051864623,0.06824946403503418,0.005681164900479841
1,STRAIN_000790,LOCAL_W10,5,0.07547179460525513,0.07667863368988037,0.002087591773144537
1,STRAIN_000798,LOCAL_W10,5,0.06991620063781738,0.07280725240707397,0.0063244592790092655
1,STRAIN_000799,LOCAL_W10,5,0.07458239793777466,0.07452630996704102,0.004215754079632803
1,STRAIN_000804,LOCAL_W10,5,0.07818009853363037,0.07558023929595947,0.007698835477302575
1,STRAIN_000805,LOCAL_W10,5,0.07942022085189819,0.07967060804367065,0.003160218192472599
1,STRAIN_000810,LOCAL_W10,5,0.07215721607208252,0.07380342483520508,0.004069121509166409
1,STRAIN_000816,LOCAL_W10,5,0.07509481906890869,0.07425504922866821,0.006005160142258081
1,STRAIN_000817,LOCAL_W10,5,0.0742874026298523,0.07352030277252197,0.005255081074079068
1,STRAIN_000822,LOCAL_W10,5,0.0661276936531067,0.05629408359527588,0.023960521118621837
1,STRAIN_000829,LOCAL_W10,5,0.08497818708419799,0.07706141471862793,0.011627299879442346
