baseline,GenoGramma_ROC,baseline_ROC,Delta_ROC_GenoGramma_minus_baseline,GenoGramma_PR,baseline_PR,Delta_PR_GenoGramma_minus_baseline
CNN1D,0.8609137917974027,0.7338915032524161,0.12702228854498654,0.8039284652533033,0.6888688168066626,0.11505964844664074
BiGRU,0.8609137917974027,0.8040378976873797,0.05687589411002303,0.8039284652533033,0.7353346621948238,0.06859380305847951
TransformerSmall,0.8609137917974027,0.8537481802893505,0.007165611508052172,0.8039284652533033,0.7877616457778591,0.016166819475444183
MeanPool,0.8609137917974027,0.844809028188211,0.016104763609191663,0.8039284652533033,0.7809234082236387,0.0230050570296646
