model,ROC_AUC,PR_AUC,Balanced_Accuracy,F1,MCC,ROC_rank,PR_rank
GenoGramma,0.8609137917974027,0.8039284652533033,0.7692877411231847,0.7439384255544828,0.5368415881958664,1,1
CNN1D,0.7338915032524161,0.6888688168066626,0.675361013079808,0.6221262263874652,0.35671627126609895,5,5
BiGRU,0.8040378976873797,0.7353346621948238,0.7309504217103229,0.7012306958033614,0.46062686479177056,4,4
TransformerSmall,0.8537481802893505,0.7877616457778591,0.7663062390480775,0.7418304399123546,0.5302304286526863,2,2
MeanPool,0.844809028188211,0.7809234082236387,0.7622710377266819,0.7387849406359763,0.5215968013702489,3,3
