subset,contrast,left_variant,right_variant,metric,paired_lineages,mean_delta,median_delta,CI_low,CI_high,bootstrap_probability_delta_gt_0,fraction_lineages_delta_gt_0,fraction_lineages_delta_ge_0
all_pairs,Interaction_gain_over_center,A2_PairInteraction,A1_CenterPair,ROC_AUC,54,0.004348954124896927,0.0005244767338568601,0.001203676369450124,0.0077223593375955095,0.998,0.5185185185185185,0.5185185185185185
all_pairs,Interaction_gain_over_center,A2_PairInteraction,A1_CenterPair,PR_AUC,54,0.005001508481226832,4.9883584786525326e-05,0.000667955541328551,0.00971441962666894,0.9876,0.5,0.5
all_pairs,Interaction_gain_over_center,A2_PairInteraction,A1_CenterPair,MCC,54,0.008924027026018699,0.004575331871524618,-7.566623308386167e-06,0.01812797171370104,0.9748,0.6296296296296297,0.6296296296296297
all_pairs,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,ROC_AUC,54,0.0031593007813834626,0.0017824783040057413,0.0017602032280104253,0.004669041084557253,1.0,0.6851851851851852,0.6851851851851852
all_pairs,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,PR_AUC,54,0.003960512964440347,0.004101849229305232,0.0016567580367649968,0.006174718405299179,0.9998,0.6111111111111112,0.6111111111111112
all_pairs,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,MCC,54,0.004783609317613729,0.005474997389424696,-0.0003384471403833006,0.010155047449192201,0.963,0.6111111111111112,0.6111111111111112
all_pairs,Global_gain_over_pair,A4_PairPlusGlobal,A2_PairInteraction,ROC_AUC,54,-0.006826653126337944,-0.003165933890500905,-0.010357677366623836,-0.0036875601951872074,0.0,0.2962962962962963,0.2962962962962963
all_pairs,Global_gain_over_pair,A4_PairPlusGlobal,A2_PairInteraction,PR_AUC,54,-0.008254700180702852,-0.0031765856938811288,-0.012786836868700528,-0.0038806699379436015,0.0,0.3148148148148148,0.3148148148148148
all_pairs,Global_gain_over_pair,A4_PairPlusGlobal,A2_PairInteraction,MCC,54,-0.016508422438633256,-0.010595892586511946,-0.025090287294300278,-0.008477980731531155,0.0,0.2777777777777778,0.2777777777777778
all_pairs,Global_gain_given_edge,A5_Full768,A3_PairPlusEdge,ROC_AUC,54,-0.005775713064289283,-0.005334290192729074,-0.007647754635215594,-0.0039442535051545016,0.0,0.16666666666666666,0.16666666666666666
all_pairs,Global_gain_given_edge,A5_Full768,A3_PairPlusEdge,PR_AUC,54,-0.007151160272657549,-0.005844252215105816,-0.009794382782563463,-0.004445395728654294,0.0,0.24074074074074073,0.24074074074074073
all_pairs,Global_gain_given_edge,A5_Full768,A3_PairPlusEdge,MCC,54,-0.014594889445171027,-0.012289457227270484,-0.020062647388697858,-0.009168591635929856,0.0,0.2777777777777778,0.2777777777777778
all_pairs,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,ROC_AUC,54,0.004210240843432123,0.0008470260331989166,0.0013968556177554518,0.007631891612302522,0.9992,0.5925925925925926,0.5925925925925926
all_pairs,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,PR_AUC,54,0.005064052872485649,0.0020414368887948786,0.001224564988769005,0.00952606092527568,0.9972,0.5740740740740741,0.5740740740740741
all_pairs,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,MCC,54,0.006697142311075955,-0.0014645235644903387,-0.0010601478243814529,0.01557283760197667,0.9538,0.48148148148148145,0.48148148148148145
same_strand_only,Interaction_gain_over_center,A2_PairInteraction,A1_CenterPair,ROC_AUC,54,0.007073079075579586,0.0009566537803530339,0.0015447905880980944,0.012883697606087662,0.995,0.5185185185185185,0.5185185185185185
same_strand_only,Interaction_gain_over_center,A2_PairInteraction,A1_CenterPair,PR_AUC,54,0.005001862949043133,4.98835847864143e-05,0.0004438268261800645,0.009775980877628543,0.9846,0.5,0.5
same_strand_only,Interaction_gain_over_center,A2_PairInteraction,A1_CenterPair,MCC,54,0.012356076585953772,0.0014149255621594137,0.0009501038477676065,0.024083899575288312,0.9826,0.5370370370370371,0.5370370370370371
same_strand_only,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,ROC_AUC,54,0.005841272484947747,0.003198097387273169,0.0031813082179112987,0.008608353514436055,1.0,0.6851851851851852,0.6851851851851852
same_strand_only,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,PR_AUC,54,0.003963134169903023,0.004102907673413647,0.0017406665147740614,0.006279316983794509,0.9996,0.6111111111111112,0.6111111111111112
