subset,contrast,left_variant,right_variant,metric,paired_lineages,mean_delta,median_delta,CI_low,CI_high,bootstrap_probability_delta_gt_0,fraction_lineages_delta_gt_0,fraction_lineages_delta_ge_0
all_pairs,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,ROC_AUC,54,0.0031593007813834626,0.0017824783040057413,0.0017602032280104253,0.004669041084557253,1.0,0.6851851851851852,0.6851851851851852
all_pairs,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,PR_AUC,54,0.003960512964440347,0.004101849229305232,0.0016567580367649968,0.006174718405299179,0.9998,0.6111111111111112,0.6111111111111112
all_pairs,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,ROC_AUC,54,0.004210240843432123,0.0008470260331989166,0.0013968556177554518,0.007631891612302522,0.9992,0.5925925925925926,0.5925925925925926
all_pairs,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,PR_AUC,54,0.005064052872485649,0.0020414368887948786,0.001224564988769005,0.00952606092527568,0.9972,0.5740740740740741,0.5740740740740741
same_strand_only,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,ROC_AUC,54,0.005841272484947747,0.003198097387273169,0.0031813082179112987,0.008608353514436055,1.0,0.6851851851851852,0.6851851851851852
same_strand_only,ContextualEdge_gain_over_pair,A3_PairPlusEdge,A2_PairInteraction,PR_AUC,54,0.003963134169903023,0.004102907673413647,0.0017406665147740614,0.006279316983794509,0.9996,0.6111111111111112,0.6111111111111112
same_strand_only,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,ROC_AUC,54,0.0071486946016627905,0.0013443945014732783,0.002263676221910431,0.012866707808041234,0.9984,0.5925925925925926,0.5925925925925926
same_strand_only,ContextualEdge_gain_given_global,A5_Full768,A4_PairPlusGlobal,PR_AUC,54,0.0050651677942881845,0.002042100560915805,0.00121394682474261,0.009680967205912662,0.998,0.5740740740740741,0.5740740740740741
