outer_fold,n_holdout,best_epoch,best_inner_val_total_ssl_loss,outer_total_ssl_loss,outer_reconstruction_loss,outer_adjacency_loss,outer_contrastive_loss,checkpoint_sha256
1,196,6,1.1869201986071392,1.3703277150359081,0.08580772240399098,0.6938000408058264,4.6880998611450195,8dec04f4ba2782bb33cc37578b4ab14613068ce780c0204f8b5b9cb775ff977a
2,196,3,1.3017964577445618,1.4811424979826018,0.08535465313007637,0.686877508552707,5.261745452880859,a6dce39d7930c13882db4136b3bfe976e9e79e53fa23282fd9a8e7cd5ef322df
3,196,11,1.2905202005294305,1.4676747856015453,0.08532110187320077,0.6938432622320798,5.177160263061523,3c0b45715bafd10886f3c1d628b97c01612a86267b692e548b5654961947d3a0
4,196,2,1.270286829330218,1.428746794202194,0.10901733423222085,0.6940411342954149,4.863544464111328,bfde1455e49762c311cc477809da0c43424be8420d445cc4d1c3bbaf0d936443
5,195,6,1.3210441854630792,1.484203164623334,0.08387505121720143,0.6914628064021086,5.272983551025391,1cae56967ef973fcdb7915136526930c95980647e6eff240e3a134e53d6b3a2e
