outer_fold,epoch,learning_rate,train_total_ssl_loss,train_reconstruction_loss,train_adjacency_loss,train_contrastive_loss,inner_val_total_ssl_loss,inner_val_reconstruction_loss,inner_val_adjacency_loss,inner_val_contrastive_loss
3,1,0.0002,1.2135280892252922,0.2360428837339648,0.6914135315032168,3.1588921223513107,1.315237960370281,0.09975054407421546,0.6886807118035569,4.3557353019714355
3,2,0.00019876883405951377,1.1828169776973398,0.12272572551261295,0.6952078731053255,3.5624365332451733,1.308628408629683,0.090489379778693,0.6887991911248316,4.368697166442871
3,3,0.00019510565162951537,1.4861207145520232,0.09563118157992986,0.6873881041326306,5.233977296643636,1.3044665000672584,0.0863762112169326,0.6885491232328778,4.369078636169434
3,4,0.0001891006524188368,1.351014075123451,0.09910618611188098,0.6868391979316418,4.5424413786015725,1.3043733909726143,0.0861608454886871,0.6886605035655106,4.369411468505859
3,5,0.00018090169943749476,1.3578342439776117,0.10893317612565377,0.6919774032113227,4.5145617643879214,1.3040115824228602,0.08660919964313507,0.6889662188065203,4.364596366882324
3,6,0.00017071067811865476,1.3998235882344572,0.09279597400348973,0.6887417341667142,4.813283618200909,1.304715924097013,0.08668497978131982,0.6884867009482806,4.368937969207764
3,7,0.00015877852522924732,1.4075832177292218,0.1036708528726277,0.6881210724399849,4.799259091981432,1.3067195354760448,0.08846156959292255,0.688896684329721,4.369048118591309
3,8,0.00014539904997395468,1.3786088690500369,0.11432073115032505,0.6890620023689487,4.598785578357902,1.30260381221394,0.09188489285828191,0.6891498595853395,4.330719947814941
3,9,0.00013090169943749476,1.347911418669603,0.10276501327329739,0.6898920530961319,4.50100180963901,1.3112149287628223,0.09306479424615449,0.6887283238429057,4.368929862976074
3,10,0.00011564344650402312,1.4216556606644934,0.09945216715674508,0.6874244667758996,4.892456209964373,1.2956232253509232,0.08815835661525968,0.6879014629351942,4.317570686340332
3,11,0.00010000000000000002,1.3498647094450213,0.09434331676245412,0.6888128495351835,4.555574767825998,1.2905202005294305,0.08813004186259041,0.6895055065426645,4.288187026977539
3,12,8.435655349597696e-05,1.3893927980891683,0.09285682473670352,0.6878217094662514,4.763125521892851,1.2923836853308013,0.08858630212047432,0.6890107057517088,4.296460151672363
3,13,6.909830056250529e-05,1.4869874524460598,0.09322501515800302,0.6882289941845969,5.248239595951005,1.304710592235191,0.08645513351959518,0.6887772290766994,4.3693342208862305
3,14,5.460095002604534e-05,1.5118853258477016,0.09299014690755443,0.6895173394375227,5.370682454244657,1.3053282100565826,0.08665560940398445,0.6896099870717978,4.369338035583496
3,15,4.122147477075271e-05,1.5085704390975563,0.09140148536640812,0.6860054420645941,5.370831042020158,1.3058288059091265,0.0868138796355151,0.6902934939046449,4.369340896606445
