door_accession,door_accession_key,door_assembly_number,door_version,door_prefix,genome_dir,feature_table_member,operon_member,has_operon_label_file
GCA_000020625.1,000020625.1,000020625,1,GCA,data/Prosthecochloris_aestuarii_DSM_271,data/Prosthecochloris_aestuarii_DSM_271/GCA_000020625.1_ASM2062v1_feature_table.txt,data/Prosthecochloris_aestuarii_DSM_271/Prosthecochloris_aestuarii_DSM_271_NC_011059_operon_classification_output.txt,True
GCA_000020645.1,000020645.1,000020645,1,GCA,data/Pelodictyon_phaeoclathratiforme_BU-1,data/Pelodictyon_phaeoclathratiforme_BU-1/GCA_000020645.1_ASM2064v1_feature_table.txt,data/Pelodictyon_phaeoclathratiforme_BU-1/Pelodictyon_phaeoclathratiforme_BU-1_NC_011060_operon_classification_output.txt,True
GCA_000020665.1,000020665.1,000020665,1,GCA,data/Stenotrophomonas_maltophilia_R551-3,data/Stenotrophomonas_maltophilia_R551-3/GCA_000020665.1_ASM2066v1_feature_table.txt,data/Stenotrophomonas_maltophilia_R551-3/Stenotrophomonas_maltophilia_R551-3_NC_011071_operon_classification_output.txt,True
GCA_000020685.1,000020685.1,000020685,1,GCA,data/Deinococcus_deserti_VCD115,data/Deinococcus_deserti_VCD115/GCA_000020685.1_ASM2068v1_feature_table.txt,data/Deinococcus_deserti_VCD115/Deinococcus_deserti_VCD115_NC_012526_operon_classification_output.txt,True
GCA_000020705.1,000020705.1,000020705,1,GCA,data/Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476,data/Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476/GCA_000020705.1_ASM2070v1_feature_table.txt,data/Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476/Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476_NC_011083_operon_classification_output.txt,True
GCA_000020725.1,000020725.1,000020725,1,GCA,data/Geobacter_bemidjiensis_Bem,data/Geobacter_bemidjiensis_Bem/GCA_000020725.1_ASM2072v1_feature_table.txt,data/Geobacter_bemidjiensis_Bem/Geobacter_bemidjiensis_Bem_NC_011146_operon_classification_output.txt,True
GCA_000020745.1,000020745.1,000020745,1,GCA,data/Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633,data/Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633/GCA_000020745.1_ASM2074v1_feature_table.txt,data/Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633/Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633_NC_011094_operon_classification_output.txt,True
GCA_000020765.1,000020765.1,000020765,1,GCA,data/Streptococcus_equi_subsp._zooepidemicus_MGCS10565,data/Streptococcus_equi_subsp._zooepidemicus_MGCS10565/GCA_000020765.1_ASM2076v1_feature_table.txt,data/Streptococcus_equi_subsp._zooepidemicus_MGCS10565/Streptococcus_equi_subsp._zooepidemicus_MGCS10565_NC_011134_operon_classification_output.txt,True
GCA_000020785.1,000020785.1,000020785,1,GCA,data/Hydrogenobaculum_sp._Y04AAS1,data/Hydrogenobaculum_sp._Y04AAS1/GCA_000020785.1_ASM2078v1_feature_table.txt,data/Hydrogenobaculum_sp._Y04AAS1/Hydrogenobaculum_sp._Y04AAS1_NC_011126_operon_classification_output.txt,True
GCA_000020805.1,000020805.1,000020805,1,GCA,data/Anaeromyxobacter_sp._K,data/Anaeromyxobacter_sp._K/GCA_000020805.1_ASM2080v1_feature_table.txt,data/Anaeromyxobacter_sp._K/Anaeromyxobacter_sp._K_NC_011145_operon_classification_output.txt,True
GCA_000020825.1,000020825.1,000020825,1,GCA,data/Acidithiobacillus_ferrooxidans_ATCC_53993,data/Acidithiobacillus_ferrooxidans_ATCC_53993/GCA_000020825.1_ASM2082v1_feature_table.txt,data/Acidithiobacillus_ferrooxidans_ATCC_53993/Acidithiobacillus_ferrooxidans_ATCC_53993_NC_011206_operon_classification_output.txt,True
GCA_000020845.1,000020845.1,000020845,1,GCA,data/Vibrio_fischeri_MJ11,data/Vibrio_fischeri_MJ11/GCA_000020845.1_ASM2084v1_feature_table.txt,data/Vibrio_fischeri_MJ11/Vibrio_fischeri_MJ11_NC_011184_operon_classification_output.txt,True
GCA_000020865.1,000020865.1,000020865,1,GCA,data/Edwardsiella_tarda_EIB202,data/Edwardsiella_tarda_EIB202/GCA_000020865.1_ASM2086v1_feature_table.txt,data/Edwardsiella_tarda_EIB202/Edwardsiella_tarda_EIB202_NC_013508_operon_classification_output.txt,True
GCA_000020885.1,000020885.1,000020885,1,GCA,data/Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483,data/Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483/GCA_000020885.1_ASM2088v1_feature_table.txt,data/Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483/Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483_NC_011149_operon_classification_output.txt,True
GCA_000020905.1,000020905.1,000020905,1,GCA,data/Desulfurococcus_kamchatkensis_1221n,data/Desulfurococcus_kamchatkensis_1221n/GCA_000020905.1_ASM2090v1_feature_table.txt,data/Desulfurococcus_kamchatkensis_1221n/Desulfurococcus_kamchatkensis_1221n_NC_011766_operon_classification_output.txt,True
GCA_000020925.1,000020925.1,000020925,1,GCA,data/Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853,data/Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853/GCA_000020925.1_ASM2092v1_feature_table.txt,data/Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853/Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853_NC_011205_operon_classification_output.txt,True
GCA_000020945.1,000020945.1,000020945,1,GCA,data/Coprothermobacter_proteolyticus_DSM_5265,data/Coprothermobacter_proteolyticus_DSM_5265/GCA_000020945.1_ASM2094v1_feature_table.txt,data/Coprothermobacter_proteolyticus_DSM_5265/Coprothermobacter_proteolyticus_DSM_5265_NC_011295_operon_classification_output.txt,True
GCA_000020965.1,000020965.1,000020965,1,GCA,data/Dictyoglomus_thermophilum_H-6-12,data/Dictyoglomus_thermophilum_H-6-12/GCA_000020965.1_ASM2096v1_feature_table.txt,data/Dictyoglomus_thermophilum_H-6-12/Dictyoglomus_thermophilum_H-6-12_NC_011297_operon_classification_output.txt,True
GCA_000020985.1,000020985.1,000020985,1,GCA,data/Thermodesulfovibrio_yellowstonii_DSM_11347,data/Thermodesulfovibrio_yellowstonii_DSM_11347/GCA_000020985.1_ASM2098v1_feature_table.txt,data/Thermodesulfovibrio_yellowstonii_DSM_11347/Thermodesulfovibrio_yellowstonii_DSM_11347_NC_011296_operon_classification_output.txt,True
GCA_000021005.1,000021005.1,000021005,1,GCA,data/Rhodobacter_sphaeroides_KD131,data/Rhodobacter_sphaeroides_KD131/GCA_000021005.1_ASM2100v1_feature_table.txt,data/Rhodobacter_sphaeroides_KD131/Rhodobacter_sphaeroides_KD131_NC_011958_operon_classification_output.txt,True
GCA_000021025.1,000021025.1,000021025,1,GCA,data/Laribacter_hongkongensis_HLHK9,data/Laribacter_hongkongensis_HLHK9/GCA_000021025.1_ASM2102v1_feature_table.txt,data/Laribacter_hongkongensis_HLHK9/Laribacter_hongkongensis_HLHK9_NC_012559_operon_classification_output.txt,True
GCA_000021045.1,000021045.1,000021045,1,GCA,data/Azotobacter_vinelandii_DJ,data/Azotobacter_vinelandii_DJ/GCA_000021045.1_ASM2104v1_feature_table.txt,data/Azotobacter_vinelandii_DJ/Azotobacter_vinelandii_DJ_NC_012560_operon_classification_output.txt,True
GCA_000021065.1,000021065.1,000021065,1,GCA,data/Buchnera_aphidicola_str._Tuc7_(Acyrthosiphon_pisum),data/Buchnera_aphidicola_str._Tuc7_(Acyrthosiphon_pisum)/GCA_000021065.1_ASM2106v1_feature_table.txt,data/Buchnera_aphidicola_str._Tuc7_(Acyrthosiphon_pisum)/Buchnera_aphidicola_str._Tuc7_(Acyrthosiphon_pisum)_NC_011834_operon_classification_output.txt,True
