_registry_row,strain_entity_id,current_genome_key,registry_accession_candidates,registry_accession_bases,n_accession_candidates,accession_source_columns
892,STRAIN_000893,GCF_033879915.1,GCF_033879915.1 | GCA_033879915.1,GCF_033879915 | GCA_033879915,2,"GCF_033879915.1:current_genome_key,primary_accession,gcf_accession || GCA_033879915.1:gca_accession,local_genome_files"
893,STRAIN_000894,GCF_033959405.1,GCF_033959405.1 | GCA_033959405.1,GCF_033959405 | GCA_033959405,2,"GCF_033959405.1:current_genome_key,primary_accession,gcf_accession || GCA_033959405.1:gca_accession,local_genome_files"
894,STRAIN_000895,GCF_034259105.1,GCF_034259105.1 | GCA_034259105.1,GCF_034259105 | GCA_034259105,2,"GCF_034259105.1:current_genome_key,primary_accession,gcf_accession || GCA_034259105.1:gca_accession,local_genome_files"
895,STRAIN_000896,GCF_034298135.1,GCF_034298135.1 | GCA_034298135.1,GCF_034298135 | GCA_034298135,2,"GCF_034298135.1:current_genome_key,primary_accession,gcf_accession || GCA_034298135.1:gca_accession,local_genome_files"
896,STRAIN_000897,GCF_034321885.1,GCF_034321885.1 | GCA_034321885.1,GCF_034321885 | GCA_034321885,2,"GCF_034321885.1:current_genome_key,primary_accession,gcf_accession || GCA_034321885.1:gca_accession,local_genome_files"
897,STRAIN_000898,GCF_034333585.1,GCF_034333585.1 | GCA_034333585.1,GCF_034333585 | GCA_034333585,2,"GCF_034333585.1:current_genome_key,primary_accession,gcf_accession || GCA_034333585.1:gca_accession,local_genome_files"
898,STRAIN_000899,GCF_035588615.1,GCF_035588615.1 | GCA_035588615.1,GCF_035588615 | GCA_035588615,2,"GCF_035588615.1:current_genome_key,primary_accession,gcf_accession || GCA_035588615.1:gca_accession,local_genome_files"
899,STRAIN_000900,GCF_036227545.1,GCF_036227545.1 | GCA_036227545.1,GCF_036227545 | GCA_036227545,2,"GCF_036227545.1:current_genome_key,primary_accession,gcf_accession || GCA_036227545.1:gca_accession,local_genome_files"
900,STRAIN_000901,GCF_036281515.1,GCF_036281515.1 | GCA_036281515.1,GCF_036281515 | GCA_036281515,2,"GCF_036281515.1:current_genome_key,primary_accession,gcf_accession || GCA_036281515.1:gca_accession,local_genome_files"
901,STRAIN_000902,GCF_036430845.1,GCF_036430845.1 | GCA_036430845.1,GCF_036430845 | GCA_036430845,2,"GCF_036430845.1:current_genome_key,primary_accession,gcf_accession || GCA_036430845.1:gca_accession,local_genome_files"
902,STRAIN_000903,GCF_036595825.1,GCF_036595825.1 | GCA_036595825.1,GCF_036595825 | GCA_036595825,2,"GCF_036595825.1:current_genome_key,primary_accession,gcf_accession || GCA_036595825.1:gca_accession,local_genome_files"
903,STRAIN_000904,GCF_036595865.1,GCF_036595865.1 | GCA_036595865.1,GCF_036595865 | GCA_036595865,2,"GCF_036595865.1:current_genome_key,primary_accession,gcf_accession || GCA_036595865.1:gca_accession,local_genome_files"
904,STRAIN_000905,GCF_036784755.1,GCF_036784755.1 | GCA_036784755.1,GCF_036784755 | GCA_036784755,2,"GCF_036784755.1:current_genome_key,primary_accession,gcf_accession || GCA_036784755.1:gca_accession,local_genome_files"
905,STRAIN_000906,GCF_036880975.1,GCF_036880975.1 | GCA_036880975.1,GCF_036880975 | GCA_036880975,2,"GCF_036880975.1:current_genome_key,primary_accession,gcf_accession || GCA_036880975.1:gca_accession,local_genome_files"
906,STRAIN_000907,GCF_036903235.1,GCF_036903235.1 | GCA_036903235.1,GCF_036903235 | GCA_036903235,2,"GCF_036903235.1:current_genome_key,primary_accession,gcf_accession || GCA_036903235.1:gca_accession,local_genome_files"
907,STRAIN_000908,GCF_036942465.1,GCF_036942465.1 | GCA_036942465.1,GCF_036942465 | GCA_036942465,2,"GCF_036942465.1:current_genome_key,primary_accession,gcf_accession || GCA_036942465.1:gca_accession,local_genome_files"
908,STRAIN_000909,GCF_037113575.1,GCF_037113575.1 | GCA_037113575.1,GCF_037113575 | GCA_037113575,2,"GCF_037113575.1:current_genome_key,primary_accession,gcf_accession || GCA_037113575.1:gca_accession,local_genome_files"
909,STRAIN_000910,GCF_037966675.1,GCF_037966675.1 | GCA_037966675.1,GCF_037966675 | GCA_037966675,2,"GCF_037966675.1:current_genome_key,primary_accession,gcf_accession || GCA_037966675.1:gca_accession,local_genome_files"
910,STRAIN_000911,GCF_037996565.1,GCF_037996565.1 | GCA_037996565.1,GCF_037996565 | GCA_037996565,2,"GCF_037996565.1:current_genome_key,primary_accession,gcf_accession || GCA_037996565.1:gca_accession,local_genome_files"
911,STRAIN_000912,GCF_037996585.1,GCF_037996585.1 | GCA_037996585.1,GCF_037996585 | GCA_037996585,2,"GCF_037996585.1:current_genome_key,primary_accession,gcf_accession || GCA_037996585.1:gca_accession,local_genome_files"
