_registry_row,strain_entity_id,current_genome_key,registry_accession_candidates,registry_accession_bases,n_accession_candidates,accession_source_columns
0,STRAIN_000001,GCA_000478525.1,GCA_000478525.1,GCA_000478525,1,"GCA_000478525.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
1,STRAIN_000002,GCA_000604145.1,GCA_000604145.1,GCA_000604145,1,"GCA_000604145.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
2,STRAIN_000003,GCA_000708735.1,GCA_000708735.1,GCA_000708735,1,"GCA_000708735.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
3,STRAIN_000004,GCA_000736295.2,GCA_000736295.2,GCA_000736295,1,"GCA_000736295.2:current_genome_key,primary_accession,gca_accession,local_genome_files"
4,STRAIN_000005,GCA_000736295.3,GCA_000736295.3,GCA_000736295,1,"GCA_000736295.3:current_genome_key,primary_accession,gca_accession,local_genome_files"
5,STRAIN_000006,GCA_000736295.4,GCA_000736295.4,GCA_000736295,1,"GCA_000736295.4:current_genome_key,primary_accession,gca_accession,local_genome_files"
6,STRAIN_000007,GCA_000825065.1,GCA_000825065.1,GCA_000825065,1,"GCA_000825065.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
7,STRAIN_000008,GCA_000825085.1,GCA_000825085.1,GCA_000825085,1,"GCA_000825085.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
8,STRAIN_000009,GCA_000825105.1,GCA_000825105.1,GCA_000825105,1,"GCA_000825105.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
9,STRAIN_000010,GCA_000825125.1,GCA_000825125.1,GCA_000825125,1,"GCA_000825125.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
10,STRAIN_000011,GCA_000825145.1,GCA_000825145.1,GCA_000825145,1,"GCA_000825145.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
11,STRAIN_000012,GCA_001044085.1,GCA_001044085.1,GCA_001044085,1,"GCA_001044085.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
12,STRAIN_000013,GCA_001447955.1,GCA_001447955.1,GCA_001447955,1,"GCA_001447955.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
13,STRAIN_000014,GCA_001447975.1,GCA_001447975.1,GCA_001447975,1,"GCA_001447975.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
14,STRAIN_000015,GCA_002072085.1,GCA_002072085.1,GCA_002072085,1,"GCA_002072085.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
15,STRAIN_000016,GCA_002406785.1,GCA_002406785.1,GCA_002406785,1,"GCA_002406785.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
16,STRAIN_000017,GCA_003047065.1,GCA_003047065.1 | GCF_003047065.1,GCA_003047065 | GCF_003047065,2,"GCA_003047065.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_003047065.1:gcf_accession"
17,STRAIN_000018,GCA_003094635.1,GCA_003094635.1,GCA_003094635,1,"GCA_003094635.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
18,STRAIN_000019,GCA_003094855.1,GCA_003094855.1,GCA_003094855,1,"GCA_003094855.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
19,STRAIN_000020,GCA_003094935.1,GCA_003094935.1,GCA_003094935,1,"GCA_003094935.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
20,STRAIN_000021,GCA_003094955.1,GCA_003094955.1,GCA_003094955,1,"GCA_003094955.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
21,STRAIN_000022,GCA_003094975.1,GCA_003094975.1,GCA_003094975,1,"GCA_003094975.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
22,STRAIN_000023,GCA_003094995.1,GCA_003094995.1,GCA_003094995,1,"GCA_003094995.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
23,STRAIN_000024,GCA_003573955.1,GCA_003573955.1,GCA_003573955,1,"GCA_003573955.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
24,STRAIN_000025,GCA_004771035.1,GCA_004771035.1,GCA_004771035,1,"GCA_004771035.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
25,STRAIN_000026,GCA_008868445.1,GCA_008868445.1,GCA_008868445,1,"GCA_008868445.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
26,STRAIN_000027,GCA_013204895.1,GCA_013204895.1,GCA_013204895,1,"GCA_013204895.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
27,STRAIN_000028,GCA_013394345.1,GCA_013394345.1,GCA_013394345,1,"GCA_013394345.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
28,STRAIN_000029,GCA_017009715.1,GCA_017009715.1 | GCF_017009715.1,GCA_017009715 | GCF_017009715,2,"GCA_017009715.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_017009715.1:gcf_accession"
29,STRAIN_000030,GCA_018140675.1,GCA_018140675.1,GCA_018140675,1,"GCA_018140675.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
30,STRAIN_000031,GCA_020741515.1,GCA_020741515.1,GCA_020741515,1,"GCA_020741515.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
31,STRAIN_000032,GCA_020741545.1,GCA_020741545.1,GCA_020741545,1,"GCA_020741545.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
32,STRAIN_000033,GCA_020978285.1,GCA_020978285.1 | GCF_020978285.1,GCA_020978285 | GCF_020978285,2,"GCA_020978285.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_020978285.1:gcf_accession"
33,STRAIN_000034,GCA_021228035.1,GCA_021228035.1,GCA_021228035,1,"GCA_021228035.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
34,STRAIN_000035,GCA_021892455.1,GCA_021892455.1,GCA_021892455,1,"GCA_021892455.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
35,STRAIN_000036,GCA_021892795.1,GCA_021892795.1,GCA_021892795,1,"GCA_021892795.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
36,STRAIN_000037,GCA_021892995.1,GCA_021892995.1,GCA_021892995,1,"GCA_021892995.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
37,STRAIN_000038,GCA_021893075.1,GCA_021893075.1,GCA_021893075,1,"GCA_021893075.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
38,STRAIN_000039,GCA_021894075.1,GCA_021894075.1,GCA_021894075,1,"GCA_021894075.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
39,STRAIN_000040,GCA_021894155.1,GCA_021894155.1,GCA_021894155,1,"GCA_021894155.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
40,STRAIN_000041,GCA_021894595.1,GCA_021894595.1,GCA_021894595,1,"GCA_021894595.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
41,STRAIN_000042,GCA_021894615.1,GCA_021894615.1,GCA_021894615,1,"GCA_021894615.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
42,STRAIN_000043,GCA_022738455.1,GCA_022738455.1,GCA_022738455,1,"GCA_022738455.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
43,STRAIN_000044,GCA_022757425.1,GCA_022757425.1,GCA_022757425,1,"GCA_022757425.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
44,STRAIN_000045,GCA_023205795.1,GCA_023205795.1,GCA_023205795,1,"GCA_023205795.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
45,STRAIN_000046,GCA_023205815.1,GCA_023205815.1,GCA_023205815,1,"GCA_023205815.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
46,STRAIN_000047,GCA_023205835.1,GCA_023205835.1,GCA_023205835,1,"GCA_023205835.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
47,STRAIN_000048,GCA_023205855.1,GCA_023205855.1,GCA_023205855,1,"GCA_023205855.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
48,STRAIN_000049,GCA_023208035.1,GCA_023208035.1,GCA_023208035,1,"GCA_023208035.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
49,STRAIN_000050,GCA_023208055.1,GCA_023208055.1,GCA_023208055,1,"GCA_023208055.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
50,STRAIN_000051,GCA_023208075.1,GCA_023208075.1,GCA_023208075,1,"GCA_023208075.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
51,STRAIN_000052,GCA_023208095.1,GCA_023208095.1,GCA_023208095,1,"GCA_023208095.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
52,STRAIN_000053,GCA_023208115.1,GCA_023208115.1,GCA_023208115,1,"GCA_023208115.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
53,STRAIN_000054,GCA_023208135.1,GCA_023208135.1,GCA_023208135,1,"GCA_023208135.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
54,STRAIN_000055,GCA_023208155.1,GCA_023208155.1,GCA_023208155,1,"GCA_023208155.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
55,STRAIN_000056,GCA_030339395.1,GCA_030339395.1,GCA_030339395,1,"GCA_030339395.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
56,STRAIN_000057,GCA_030437975.1,GCA_030437975.1 | GCF_030437975.1,GCA_030437975 | GCF_030437975,2,"GCA_030437975.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_030437975.1:gcf_accession"
57,STRAIN_000058,GCA_030451345.1,GCA_030451345.1,GCA_030451345,1,"GCA_030451345.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
58,STRAIN_000059,GCA_030457435.1,GCA_030457435.1,GCA_030457435,1,"GCA_030457435.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
59,STRAIN_000060,GCA_032144055.1,GCA_032144055.1,GCA_032144055,1,"GCA_032144055.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
60,STRAIN_000061,GCA_032477535.1,GCA_032477535.1,GCA_032477535,1,"GCA_032477535.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
61,STRAIN_000062,GCA_033567675.1,GCA_033567675.1,GCA_033567675,1,"GCA_033567675.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
62,STRAIN_000063,GCA_036281335.1,GCA_036281335.1,GCA_036281335,1,"GCA_036281335.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
63,STRAIN_000064,GCA_036452655.1,GCA_036452655.1,GCA_036452655,1,"GCA_036452655.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
64,STRAIN_000065,GCA_036728855.1,GCA_036728855.1,GCA_036728855,1,"GCA_036728855.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
65,STRAIN_000066,GCA_042160085.1,GCA_042160085.1,GCA_042160085,1,"GCA_042160085.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
66,STRAIN_000067,GCA_042645985.1,GCA_042645985.1,GCA_042645985,1,"GCA_042645985.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
67,STRAIN_000068,GCA_044760245.1,GCA_044760245.1,GCA_044760245,1,"GCA_044760245.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
68,STRAIN_000069,GCA_046958455.1,GCA_046958455.1,GCA_046958455,1,"GCA_046958455.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
69,STRAIN_000070,GCA_047445175.1,GCA_047445175.1,GCA_047445175,1,"GCA_047445175.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
70,STRAIN_000071,GCA_051388735.1,GCA_051388735.1,GCA_051388735,1,"GCA_051388735.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
71,STRAIN_000072,GCA_051388815.1,GCA_051388815.1,GCA_051388815,1,"GCA_051388815.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
72,STRAIN_000073,GCA_052109995.1,GCA_052109995.1,GCA_052109995,1,"GCA_052109995.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
73,STRAIN_000074,GCA_052284685.1,GCA_052284685.1,GCA_052284685,1,"GCA_052284685.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
74,STRAIN_000075,GCA_053901865.1,GCA_053901865.1,GCA_053901865,1,"GCA_053901865.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
75,STRAIN_000076,GCA_054852885.1,GCA_054852885.1,GCA_054852885,1,"GCA_054852885.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
76,STRAIN_000077,GCA_900519135.1,GCA_900519135.1 | GCF_900519135.1,GCA_900519135 | GCF_900519135,2,"GCA_900519135.1:current_genome_key,primary_accession,gca_accession,local_genome_files || GCF_900519135.1:gcf_accession"
77,STRAIN_000078,GCA_925297675.1,GCA_925297675.1,GCA_925297675,1,"GCA_925297675.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
78,STRAIN_000079,GCA_925297865.1,GCA_925297865.1,GCA_925297865,1,"GCA_925297865.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
79,STRAIN_000080,GCA_947072755.1,GCA_947072755.1,GCA_947072755,1,"GCA_947072755.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
80,STRAIN_000081,GCA_948482305.1,GCA_948482305.1,GCA_948482305,1,"GCA_948482305.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
81,STRAIN_000082,GCA_948490115.1,GCA_948490115.1,GCA_948490115,1,"GCA_948490115.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
82,STRAIN_000083,GCA_948583985.1,GCA_948583985.1,GCA_948583985,1,"GCA_948583985.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
83,STRAIN_000084,GCA_948609125.1,GCA_948609125.1,GCA_948609125,1,"GCA_948609125.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
84,STRAIN_000085,GCA_948896075.1,GCA_948896075.1,GCA_948896075,1,"GCA_948896075.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
85,STRAIN_000086,GCA_948918825.1,GCA_948918825.1,GCA_948918825,1,"GCA_948918825.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
86,STRAIN_000087,GCA_949007965.1,GCA_949007965.1,GCA_949007965,1,"GCA_949007965.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
87,STRAIN_000088,GCA_949084435.1,GCA_949084435.1,GCA_949084435,1,"GCA_949084435.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
88,STRAIN_000089,GCA_949105495.1,GCA_949105495.1,GCA_949105495,1,"GCA_949105495.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
89,STRAIN_000090,GCA_949493175.1,GCA_949493175.1,GCA_949493175,1,"GCA_949493175.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
90,STRAIN_000091,GCA_959028405.1,GCA_959028405.1,GCA_959028405,1,"GCA_959028405.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
91,STRAIN_000092,GCA_982235515.1,GCA_982235515.1,GCA_982235515,1,"GCA_982235515.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
92,STRAIN_000093,GCA_982332205.1,GCA_982332205.1,GCA_982332205,1,"GCA_982332205.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
93,STRAIN_000094,GCA_982400935.1,GCA_982400935.1,GCA_982400935,1,"GCA_982400935.1:current_genome_key,primary_accession,gca_accession,local_genome_files"
94,STRAIN_000095,GCF_000003135.1,GCF_000003135.1 | GCA_000003135.1,GCF_000003135 | GCA_000003135,2,"GCF_000003135.1:current_genome_key,primary_accession,gcf_accession || GCA_000003135.1:gca_accession,local_genome_files"
95,STRAIN_000096,GCF_000005845.2,GCF_000005845.2 | GCA_000005845.2,GCF_000005845 | GCA_000005845,2,"GCF_000005845.2:current_genome_key,primary_accession,gcf_accession || GCA_000005845.2:gca_accession,local_genome_files"
96,STRAIN_000097,GCF_000006765.1,GCF_000006765.1 | GCA_000006765.1,GCF_000006765 | GCA_000006765,2,"GCF_000006765.1:current_genome_key,primary_accession,gcf_accession || GCA_000006765.1:gca_accession,local_genome_files"
97,STRAIN_000098,GCF_000006865.1,GCF_000006865.1 | GCA_000006865.1,GCF_000006865 | GCA_000006865,2,"GCF_000006865.1:current_genome_key,primary_accession,gcf_accession || GCA_000006865.1:gca_accession,local_genome_files"
98,STRAIN_000099,GCF_000006965.1,GCF_000006965.1 | GCA_000006965.1,GCF_000006965 | GCA_000006965,2,"GCF_000006965.1:current_genome_key,primary_accession,gcf_accession || GCA_000006965.1:gca_accession,local_genome_files"
99,STRAIN_000100,GCF_000007525.1,GCF_000007525.1 | GCA_000007525.1,GCF_000007525 | GCA_000007525,2,"GCF_000007525.1:current_genome_key,primary_accession,gcf_accession || GCA_000007525.1:gca_accession,local_genome_files"
100,STRAIN_000101,GCF_000008065.1,GCF_000008065.1 | GCA_000008065.1,GCF_000008065 | GCA_000008065,2,"GCF_000008065.1:current_genome_key,primary_accession,gcf_accession || GCA_000008065.1:gca_accession,local_genome_files"
101,STRAIN_000102,GCF_000008925.1,GCF_000008925.1 | GCA_000008925.1,GCF_000008925 | GCA_000008925,2,"GCF_000008925.1:current_genome_key,primary_accession,gcf_accession || GCA_000008925.1:gca_accession,local_genome_files"
102,STRAIN_000103,GCF_000008945.1,GCF_000008945.1 | GCA_000008945.1,GCF_000008945 | GCA_000008945,2,"GCF_000008945.1:current_genome_key,primary_accession,gcf_accession || GCA_000008945.1:gca_accession,local_genome_files"
103,STRAIN_000104,GCF_000009045.1,GCF_000009045.1 | GCA_000009045.1,GCF_000009045 | GCA_000009045,2,"GCF_000009045.1:current_genome_key,primary_accession,gcf_accession || GCA_000009045.1:gca_accession,local_genome_files"
104,STRAIN_000105,GCF_000009425.1,GCF_000009425.1 | GCA_000009425.1,GCF_000009425 | GCA_000009425,2,"GCF_000009425.1:current_genome_key,primary_accession,gcf_accession || GCA_000009425.1:gca_accession,local_genome_files"
105,STRAIN_000106,GCF_000009825.1,GCF_000009825.1 | GCA_000009825.1,GCF_000009825 | GCA_000009825,2,"GCF_000009825.1:current_genome_key,primary_accession,gcf_accession || GCA_000009825.1:gca_accession,local_genome_files"
106,STRAIN_000107,GCF_000010005.1,GCF_000010005.1 | GCA_000010005.1,GCF_000010005 | GCA_000010005,2,"GCF_000010005.1:current_genome_key,primary_accession,gcf_accession || GCA_000010005.1:gca_accession,local_genome_files"
107,STRAIN_000108,GCF_000010145.1,GCF_000010145.1 | GCA_000010145.1,GCF_000010145 | GCA_000010145,2,"GCF_000010145.1:current_genome_key,primary_accession,gcf_accession || GCA_000010145.1:gca_accession,local_genome_files"
108,STRAIN_000109,GCF_000010425.1,GCF_000010425.1 | GCA_000010425.1,GCF_000010425 | GCA_000010425,2,"GCF_000010425.1:current_genome_key,primary_accession,gcf_accession || GCA_000010425.1:gca_accession,local_genome_files"
109,STRAIN_000110,GCF_000010525.1,GCF_000010525.1 | GCA_000010525.1,GCF_000010525 | GCA_000010525,2,"GCF_000010525.1:current_genome_key,primary_accession,gcf_accession || GCA_000010525.1:gca_accession,local_genome_files"
110,STRAIN_000111,GCF_000010725.1,GCF_000010725.1 | GCA_000010725.1,GCF_000010725 | GCA_000010725,2,"GCF_000010725.1:current_genome_key,primary_accession,gcf_accession || GCA_000010725.1:gca_accession,local_genome_files"
111,STRAIN_000112,GCF_000011045.1,GCF_000011045.1 | GCA_000011045.1,GCF_000011045 | GCA_000011045,2,"GCF_000011045.1:current_genome_key,primary_accession,gcf_accession || GCA_000011045.1:gca_accession,local_genome_files"
112,STRAIN_000113,GCF_000011365.1,GCF_000011365.1 | GCA_000011365.1,GCF_000011365 | GCA_000011365,2,"GCF_000011365.1:current_genome_key,primary_accession,gcf_accession || GCA_000011365.1:gca_accession,local_genome_files"
113,STRAIN_000114,GCF_000011825.1,GCF_000011825.1 | GCA_000011825.1,GCF_000011825 | GCA_000011825,2,"GCF_000011825.1:current_genome_key,primary_accession,gcf_accession || GCA_000011825.1:gca_accession,local_genome_files"
114,STRAIN_000115,GCF_000011845.1,GCF_000011845.1 | GCA_000011845.1,GCF_000011845 | GCA_000011845,2,"GCF_000011845.1:current_genome_key,primary_accession,gcf_accession || GCA_000011845.1:gca_accession,local_genome_files"
115,STRAIN_000116,GCF_000012905.2,GCF_000012905.2 | GCA_000012905.2,GCF_000012905 | GCA_000012905,2,"GCF_000012905.2:current_genome_key,primary_accession,gcf_accession || GCA_000012905.2:gca_accession,local_genome_files"
116,STRAIN_000117,GCF_000013345.1,GCF_000013345.1 | GCA_000013345.1,GCF_000013345 | GCA_000013345,2,"GCF_000013345.1:current_genome_key,primary_accession,gcf_accession || GCA_000013345.1:gca_accession,local_genome_files"
117,STRAIN_000118,GCF_000014385.1,GCF_000014385.1 | GCA_000014385.1,GCF_000014385 | GCA_000014385,2,"GCF_000014385.1:current_genome_key,primary_accession,gcf_accession || GCA_000014385.1:gca_accession,local_genome_files"
118,STRAIN_000119,GCF_000014405.1,GCF_000014405.1 | GCA_000014405.1,GCF_000014405 | GCA_000014405,2,"GCF_000014405.1:current_genome_key,primary_accession,gcf_accession || GCA_000014405.1:gca_accession,local_genome_files"
119,STRAIN_000120,GCF_000014425.1,GCF_000014425.1 | GCA_000014425.1,GCF_000014425 | GCA_000014425,2,"GCF_000014425.1:current_genome_key,primary_accession,gcf_accession || GCA_000014425.1:gca_accession,local_genome_files"
120,STRAIN_000121,GCF_000014445.1,GCF_000014445.1 | GCA_000014445.1,GCF_000014445 | GCA_000014445,2,"GCF_000014445.1:current_genome_key,primary_accession,gcf_accession || GCA_000014445.1:gca_accession,local_genome_files"
121,STRAIN_000122,GCF_000014465.1,GCF_000014465.1 | GCA_000014465.1,GCF_000014465 | GCA_000014465,2,"GCF_000014465.1:current_genome_key,primary_accession,gcf_accession || GCA_000014465.1:gca_accession,local_genome_files"
122,STRAIN_000123,GCF_000014485.1,GCF_000014485.1 | GCA_000014485.1,GCF_000014485 | GCA_000014485,2,"GCF_000014485.1:current_genome_key,primary_accession,gcf_accession || GCA_000014485.1:gca_accession,local_genome_files"
123,STRAIN_000124,GCF_000014505.1,GCF_000014505.1 | GCA_000014505.1,GCF_000014505 | GCA_000014505,2,"GCF_000014505.1:current_genome_key,primary_accession,gcf_accession || GCA_000014505.1:gca_accession,local_genome_files"
124,STRAIN_000125,GCF_000014525.1,GCF_000014525.1 | GCA_000014525.1,GCF_000014525 | GCA_000014525,2,"GCF_000014525.1:current_genome_key,primary_accession,gcf_accession || GCA_000014525.1:gca_accession,local_genome_files"
125,STRAIN_000126,GCF_000014545.1,GCF_000014545.1 | GCA_000014545.1,GCF_000014545 | GCA_000014545,2,"GCF_000014545.1:current_genome_key,primary_accession,gcf_accession || GCA_000014545.1:gca_accession,local_genome_files"
126,STRAIN_000127,GCF_000015385.1,GCF_000015385.1 | GCA_000015385.1,GCF_000015385 | GCA_000015385,2,"GCF_000015385.1:current_genome_key,primary_accession,gcf_accession || GCA_000015385.1:gca_accession,local_genome_files"
127,STRAIN_000128,GCF_000016325.1,GCF_000016325.1 | GCA_000016325.1,GCF_000016325 | GCA_000016325,2,"GCF_000016325.1:current_genome_key,primary_accession,gcf_accession || GCA_000016325.1:gca_accession,local_genome_files"
128,STRAIN_000129,GCF_000016825.1,GCF_000016825.1 | GCA_000016825.1,GCF_000016825 | GCA_000016825,2,"GCF_000016825.1:current_genome_key,primary_accession,gcf_accession || GCA_000016825.1:gca_accession,local_genome_files"
129,STRAIN_000130,GCF_000017965.1,GCF_000017965.1 | GCA_000017965.1,GCF_000017965 | GCA_000017965,2,"GCF_000017965.1:current_genome_key,primary_accession,gcf_accession || GCA_000017965.1:gca_accession,local_genome_files"
130,STRAIN_000131,GCF_000019045.1,GCF_000019045.1 | GCA_000019045.1,GCF_000019045 | GCA_000019045,2,"GCF_000019045.1:current_genome_key,primary_accession,gcf_accession || GCA_000019045.1:gca_accession,local_genome_files"
131,STRAIN_000132,GCF_000019245.4,GCF_000019245.4 | GCA_000019245.3,GCF_000019245 | GCA_000019245,2,"GCF_000019245.4:current_genome_key,primary_accession,gcf_accession || GCA_000019245.3:gca_accession,local_genome_files"
132,STRAIN_000133,GCF_000019965.1,GCF_000019965.1 | GCA_000019965.1,GCF_000019965 | GCA_000019965,2,"GCF_000019965.1:current_genome_key,primary_accession,gcf_accession || GCA_000019965.1:gca_accession,local_genome_files"
133,STRAIN_000134,GCF_000020225.1,GCF_000020225.1 | GCA_000020225.1,GCF_000020225 | GCA_000020225,2,"GCF_000020225.1:current_genome_key,primary_accession,gcf_accession || GCA_000020225.1:gca_accession,local_genome_files"
134,STRAIN_000135,GCF_000020425.1,GCF_000020425.1 | GCA_000020425.1,GCF_000020425 | GCA_000020425,2,"GCF_000020425.1:current_genome_key,primary_accession,gcf_accession || GCA_000020425.1:gca_accession,local_genome_files"
135,STRAIN_000136,GCF_000021325.1,GCF_000021325.1 | GCA_000021325.1,GCF_000021325 | GCA_000021325,2,"GCF_000021325.1:current_genome_key,primary_accession,gcf_accession || GCA_000021325.1:gca_accession,local_genome_files"
136,STRAIN_000137,GCF_000021425.1,GCF_000021425.1 | GCA_000021425.1,GCF_000021425 | GCA_000021425,2,"GCF_000021425.1:current_genome_key,primary_accession,gcf_accession || GCA_000021425.1:gca_accession,local_genome_files"
137,STRAIN_000138,GCF_000022705.1,GCF_000022705.1 | GCA_000022705.1,GCF_000022705 | GCA_000022705,2,"GCF_000022705.1:current_genome_key,primary_accession,gcf_accession || GCA_000022705.1:gca_accession,local_genome_files"
138,STRAIN_000139,GCF_000022965.1,GCF_000022965.1 | GCA_000022965.1,GCF_000022965 | GCA_000022965,2,"GCF_000022965.1:current_genome_key,primary_accession,gcf_accession || GCA_000022965.1:gca_accession,local_genome_files"
139,STRAIN_000140,GCF_000023085.1,GCF_000023085.1 | GCA_000023085.1,GCF_000023085 | GCA_000023085,2,"GCF_000023085.1:current_genome_key,primary_accession,gcf_accession || GCA_000023085.1:gca_accession,local_genome_files"
140,STRAIN_000141,GCF_000023205.1,GCF_000023205.1 | GCA_000023205.1,GCF_000023205 | GCA_000023205,2,"GCF_000023205.1:current_genome_key,primary_accession,gcf_accession || GCA_000023205.1:gca_accession,local_genome_files"
141,STRAIN_000142,GCF_000023585.1,GCF_000023585.1 | GCA_000023585.1,GCF_000023585 | GCA_000023585,2,"GCF_000023585.1:current_genome_key,primary_accession,gcf_accession || GCA_000023585.1:gca_accession,local_genome_files"
142,STRAIN_000143,GCF_000024445.1,GCF_000024445.1 | GCA_000024445.1,GCF_000024445 | GCA_000024445,2,"GCF_000024445.1:current_genome_key,primary_accession,gcf_accession || GCA_000024445.1:gca_accession,local_genome_files"
143,STRAIN_000144,GCF_000025045.1,GCF_000025045.1 | GCA_000025045.1,GCF_000025045 | GCA_000025045,2,"GCF_000025045.1:current_genome_key,primary_accession,gcf_accession || GCA_000025045.1:gca_accession,local_genome_files"
144,STRAIN_000145,GCF_000025245.2,GCF_000025245.2 | GCA_000025245.2,GCF_000025245 | GCA_000025245,2,"GCF_000025245.2:current_genome_key,primary_accession,gcf_accession || GCA_000025245.2:gca_accession,local_genome_files"
145,STRAIN_000146,GCF_000025965.1,GCF_000025965.1 | GCA_000025965.1,GCF_000025965 | GCA_000025965,2,"GCF_000025965.1:current_genome_key,primary_accession,gcf_accession || GCA_000025965.1:gca_accession,local_genome_files"
146,STRAIN_000147,GCF_000025985.1,GCF_000025985.1 | GCA_000025985.1,GCF_000025985 | GCA_000025985,2,"GCF_000025985.1:current_genome_key,primary_accession,gcf_accession || GCA_000025985.1:gca_accession,local_genome_files"
147,STRAIN_000148,GCF_000026185.1,GCF_000026185.1 | GCA_000026185.1,GCF_000026185 | GCA_000026185,2,"GCF_000026185.1:current_genome_key,primary_accession,gcf_accession || GCA_000026185.1:gca_accession,local_genome_files"
