outer_fold,seed,LOCAL_W10_median,TIGHTBLOCK50_median,GLOBAL_CONTIG_median,GLOBAL_gt_LOCAL,GLOBAL_gt_TIGHT,LOCAL_gt_TIGHT
1,42,0.07043904066085815,0.009888172149658203,0.3745383024215698,True,True,True
1,142,0.07009631395339966,0.009922802448272705,0.3749393820762634,True,True,True
1,242,0.07115352153778076,0.010096073150634766,0.377113401889801,True,True,True
1,342,0.06966614723205566,0.009862184524536133,0.3680097460746765,True,True,True
1,442,0.07010364532470703,0.009861588478088379,0.3704574704170227,True,True,True
2,42,0.07498759031295776,0.025871753692626953,0.3581187129020691,True,True,True
2,142,0.07619544863700867,0.026149600744247437,0.35763055086135864,True,True,True
2,242,0.07560956478118896,0.025463789701461792,0.3561629354953766,True,True,True
2,342,0.07398030161857605,0.025763392448425293,0.3568931519985199,True,True,True
2,442,0.07580456137657166,0.02609032392501831,0.35730189085006714,True,True,True
3,42,0.05629304051399231,0.015564501285552979,0.38136735558509827,True,True,True
3,142,0.056693851947784424,0.015819966793060303,0.37762778997421265,True,True,True
3,242,0.056389808654785156,0.015308856964111328,0.3777759075164795,True,True,True
3,342,0.056097447872161865,0.01603114604949951,0.38018763065338135,True,True,True
3,442,0.05601722002029419,0.014941781759262085,0.3835849165916443,True,True,True
4,42,0.057489484548568726,0.01734107732772827,0.37936127185821533,True,True,True
4,142,0.058340638875961304,0.01748669147491455,0.38737088441848755,True,True,True
4,242,0.058161377906799316,0.017068982124328613,0.3863404393196106,True,True,True
4,342,0.05761295557022095,0.017116010189056396,0.3865392208099365,True,True,True
4,442,0.05786120891571045,0.01740187406539917,0.3939913213253021,True,True,True
5,42,0.05874502658843994,0.008644044399261475,0.39280885457992554,True,True,True
5,142,0.0591738224029541,0.008743613958358765,0.3998154401779175,True,True,True
5,242,0.05829811096191406,0.008526265621185303,0.38316208124160767,True,True,True
5,342,0.058912575244903564,0.008841454982757568,0.4000858664512634,True,True,True
5,442,0.058082640171051025,0.008583605289459229,0.3980725407600403,True,True,True
