outer_fold,best_epoch,n_train,n_inner_val,n_outer_test,n_train_lineages,n_inner_val_lineages,n_outer_test_lineages,shuffle_accuracy,rank_fraction_global_gt_local,strong_rank_fraction,local_displacement_mean,global_displacement_mean,global_minus_local,adjacency_accuracy,neighbor_top1_accuracy,primary_pass
1,3,603,141,221,67,15,1,0.8432291666666667,0.93125,0.8932291666666666,0.07700667555133502,0.24365247736374537,0.16664580181241034,0.6140625,0.1890625,True
2,3,557,222,186,61,2,20,0.8685763888888889,0.9484375,0.925,0.0800759290655454,0.26384772956371305,0.18377180049816766,0.5994791666666667,0.215625,True
3,5,637,142,186,45,17,21,0.8791666666666667,0.9661458333333334,0.928125,0.06153653798003991,0.2601878449320793,0.1986513069520394,0.6479166666666667,0.2635416666666667,True
4,5,460,319,186,50,12,21,0.8857638888888889,0.9713541666666666,0.94375,0.06414027437567711,0.25582457582155865,0.19168430144588156,0.6411458333333333,0.271875,True
5,5,657,122,186,56,7,20,0.8,0.9572916666666667,0.9197916666666667,0.06473689079284668,0.2665209477146467,0.20178405692180001,0.640625,0.2234375,True
