variant,active_dimension,ROC_AUC,PR_AUC,Balanced_Accuracy,F1,MCC,ROC_fold_mean,ROC_fold_sd,PR_fold_mean,PR_fold_sd,Delta_ROC_vs_Full,Delta_PR_vs_Full
A1_CenterPair,256,0.8575745992574335,0.800439777572505,0.7659968979197047,0.7425413329586437,0.5291196102759378,0.8560296845865428,0.013512577277489083,0.798959978013983,0.017526171662294393,-0.0033391925399691713,-0.0034886876807983525
A2_PairInteraction,512,0.8619826551237035,0.8036946350309557,0.7732781925925817,0.7511131521674022,0.5433101200057109,0.862037869640188,0.011038699919923995,0.8060599808893528,0.01620988707385241,0.0010688633263008507,-0.00023383022234757522
A3_PairPlusEdge,640,0.8672101904183644,0.8114828896740975,0.7767928776666326,0.7529950740913421,0.5512811924524732,0.8667976286002765,0.012980950399383179,0.8133339380230256,0.018799694927612024,0.006296398620961763,0.007554424420794237
A4_PairPlusGlobal,640,0.8547604172087994,0.7931976091425743,0.7650270571003048,0.7413356554357291,0.5272567461445639,0.8553466541119139,0.013594170549807483,0.7974448013995129,0.019504958210812055,-0.006153374588603322,-0.010730856110728992
A5_Full768,768,0.8609137917974027,0.8039284652533033,0.7692877411231847,0.7439384255544828,0.5368415881958664,0.8611717077507774,0.014736017218097074,0.8055627543786332,0.02169265330395228,0.0,0.0
