contrast,Delta_ROC,Delta_PR
Interaction_gain_over_center,0.004408055866270022,0.0032548574584507772
ContextualEdge_gain_over_pair,0.005227535294660912,0.007788254643141812
Global_gain_over_pair,-0.007222237914904173,-0.010497025888381417
Global_gain_given_edge,-0.006296398620961763,-0.007554424420794237
ContextualEdge_gain_given_global,0.006153374588603322,0.010730856110728992
