outer_fold,seed,best_epoch,n_train,n_inner_val,n_outer_test,shuffle_accuracy,rank_fraction_global_gt_local,strong_rank_fraction,local_displacement_mean,global_displacement_mean,global_minus_local,adjacency_accuracy,neighbor_top1_accuracy,primary_pass
1,42,4,673,97,195,0.9081597222222222,0.9677083333333333,0.9401041666666666,0.07427357311050096,0.2789371520280838,0.2046635789175828,0.6348958333333333,0.25,True
2,142,5,674,101,190,0.9144097222222223,0.978125,0.9536458333333333,0.06496933475136757,0.2634785090883573,0.19850917433698972,0.6515625,0.2713541666666667,True
3,242,5,673,97,195,0.928125,0.9697916666666667,0.9515625,0.059768985584378244,0.2614562133948008,0.20168722781042256,0.6651041666666667,0.2630208333333333,True
4,342,5,657,115,193,0.9137152777777777,0.9760416666666667,0.9432291666666667,0.05592077411711216,0.24345979740222295,0.1875390232851108,0.6239583333333333,0.2625,True
5,442,4,692,81,192,0.9013888888888889,0.9729166666666667,0.94375,0.06802872891227404,0.25783451000849406,0.18980578109622,0.6322916666666667,0.24947916666666667,True
