epoch,val_loss,val_shuffle_accuracy,val_rank_fraction_global_gt_local,val_local_displacement_mean,val_global_displacement_mean,val_relative_position_accuracy,val_adjacency_accuracy
1,2.873684895038605,0.3359375,0.2125,7.543712854385376e-09,1.1734664440155029e-08,0.05625,0.4875
2,2.871160697937012,0.3333333333333333,0.2734375,1.0617077350616455e-08,2.3562461137771607e-08,0.0578125,0.4671875
3,2.8694594860076905,0.3333333333333333,0.1921875,-5.308538675308228e-09,-2.7939677238464354e-10,0.071875,0.5
