control_type,content_only_median_displacement,explicit_order_median_displacement,explicit_minus_content
TIGHTBLOCK50,0.0,0.013384628295898437,0.013384628295898437
LOCAL_W10,0.0,0.06054874658584595,0.06054874658584595
GLOBAL_CONTIG,0.0,0.37848881483078,0.37848881483078
