control_type,n,exact_multiset_match_fraction,mean_displacement,median_displacement,q95_displacement,q99_displacement,max_displacement
TIGHTBLOCK50,4825,1.0,9.790671439958634e-17,0.0,4.440892098500626e-16,6.661338147750939e-16,7.771561172376096e-16
LOCAL_W10,4825,1.0,9.790671439958634e-17,0.0,4.440892098500626e-16,6.661338147750939e-16,7.771561172376096e-16
GLOBAL_CONTIG,4825,1.0,9.790671439958634e-17,0.0,4.440892098500626e-16,6.661338147750939e-16,7.771561172376096e-16
